Grid,Midden,MomTagL,MomTagR,MomColors,SquirrelID,MySQL,PlaybackTreatment,PartDate_Litter1_,Litter1N1Date,Litter1N2Date,Litter2PartDate,Litter2N1Date,Litter2N2Date,AxyPeriod_BeginningOrLac_,Axy_,DateStart,TimeStart,DeployDate,DeployTime,DateRemoved,TimeRemoved,DateTurnedOff,SIGNAL1START,SIGNAL1END,SIGNAL2START,SIGNAL2END,TimeTurnedOff,filename
JO,L13.,H4546,H4547,B/B,20287,SELECT id FROM `KRSP 2019`.squirrel where taglft='H4546' AND tagrt='H4547';,RATTLE,Pre-pregnancy,,,,,,BEGINNING,19,2019-04-03,09:16:30,2019-04-06,11:18:00,2019-04-23,11:29:00,2019-04-23,15:24:40,15:25:10,15:25:40,15:26:00,15:36:21,BJD19_20287_APRIL2019_BJD19_1.csv
JO,I5,M0854,M0860,G!/Y!,21816,SELECT id FROM `KRSP 2019`.squirrel where taglft='M0854' AND tagrt='M0860';,RATTLE,Male,,,,,,BEGINNING,10,2019-04-06,16:18:56,2019-04-10,10:52:00,2019-04-25,11:40:40,2019-04-25,16:34:00,16:34:30,16:35:00,16:35:20,17:29:09,BJD10_21816_APRIL2019_BJD10_1.csv
BT,-2.0,M0611,M0612,-/Y,21944,SELECT id FROM `KRSP 2019`.squirrel where taglft='M0611' AND tagrt='M0612';,SHAM,Pre-pregnancy,,,,,,BEGINNING,22,2019-04-07,10:27:34,2019-04-09,10:56:30,2019-04-28,11:10:32,2019-04-29,11:35:00,11:35:30,11:36:00,11:36:20,11:50:23,BJD22_21944_APRIL2019_BJD22_1.csv
BT,K6.,M2722,M2723,R/O,22167,SELECT id FROM `KRSP 2019`.squirrel where taglft='M2722' AND tagrt='M2723';,SHAM,Pre-pregnancy,,,,,,BEGINNING,18,2019-04-07,10:26:40,2019-04-13,11:28:00,2019-04-28,10:34:17,2019-04-30,11:35:00,11:35:30,11:36:00,11:36:20,11:50:52,BJD18_22167_APRIL2019_BJD18_1.csv
JO,M.9,M2299,M2300,G!/G!,22803,SELECT id FROM `KRSP 2019`.squirrel where taglft='M2299' AND tagrt='M2300';,RATTLE,Male,,,,,,BEGINNING,5,2019-04-22,14:36:05,2019-04-23,10:11:55,2019-05-09,10:28:27,2019-05-09,14:21:00,14:21:30,14:22:00,14:22:20,14:39:03,BJD5_22803_APRILMAY2019_BJD5_1.csv
JO,T13,M3686,M3687,B/O,22290,SELECT id FROM `KRSP 2019`.squirrel where taglft='M3686' AND tagrt='M3687';,RATTLE,Pre-pregnancy,,,,,,BEGINNING,6,2019-04-22,14:36:25,2019-04-24,10:41:15,2019-05-09,11:08:05,2019-05-09,14:21:00,14:21:30,14:22:00,14:22:20,14:40:18,BJD6_22290_APRILMAY2019_BJD06_1.csv
JO,F0,M5128,M5129,B/Y,23251,SELECT id FROM `KRSP 2019`.squirrel where taglft='M5128' AND tagrt='M5129';,RATTLE,Pre-pregnancy,,,,,,BEGINNING,11,2019-04-22,14:36:42,2019-04-23,12:40:45,2019-05-09,08:35:29,2019-05-09,14:21:00,14:21:30,14:22:00,14:22:20,14:40:39,BJD11_23251_APRILMAY2019_BJD11_1.csv
JO,L16.,H2894,H2895,B!/B!,19421,SELECT id FROM `KRSP 2019`.squirrel where taglft='H2894' AND tagrt='H2895';,RATTLE,Male,,,,,,BEGINNING,17,2019-04-22,14:36:55,2019-04-27,12:55:10,2019-05-23,15:58:00,2019-05-22,13:35:00,13:35:30,13:36:00,13:36:20,13:52:42,BJD17_19421_MAY2019_BJD17_1.csv
JO,R5.,M1843,M1844,W/W,22543,SELECT id FROM `KRSP 2019`.squirrel where taglft='M1843' AND tagrt='M1844';,RATTLE,Pre-pregnancy,,,,,,BEGINNING,15,2019-04-22,14:37:16,2019-04-24,10:25:10,2019-05-09,08:37:12,2019-05-09,14:21:00,14:21:30,14:22:00,14:22:20,14:41:18,BJD15_22543_APRILMAY2019_BJD15_1.csv
BT,0.2,M5363,F1662,O!/B!,21940,SELECT id FROM `KRSP 2019`.squirrel where taglft='M5363' AND tagrt='F1662';,SHAM,Male,,,,,,BEGINNING,16,2019-04-22,14:37:41,2019-04-25,12:25:00,2019-05-09,09:58:00,2019-05-09,14:21:00,14:21:30,14:22:00,14:22:20,14:44:28,
JO,P.5.,H1394,H1395,Bk!/O!,20033,SELECT id FROM `KRSP 2019`.squirrel where taglft='H1394' AND tagrt='H1395';,RATTLE,Male,,,,,,BEGINNING,14,2019-04-22,14:36:55,2019-04-27,12:55:10,2019-05-09,08:42:25,2019-05-09,14:27:00,14:27:30,14:28:00,14:28:20,14:42:39,BJD14_20033_APRILMAY2019_BJD14_2.csv
JO,F.4.,H2759,H2760,P!/R!,19508,SELECT id FROM `KRSP 2019`.squirrel where taglft='H2759' AND tagrt='H2760';,RATTLE,Male,,,,,,BEGINNING,3,2019-04-24,14:47:39,2019-04-25,10:13:09,2019-05-11,10:59:03,2019-05-11,13:52:30,13:53:00,13:53:30,13:53:50,14:04:21,BJD3_19508_APRIL-MAY2019_BJD03_1.csv
BT,M7.,M2762,M2121,G!/B!,22462,SELECT id FROM `KRSP 2019`.squirrel where taglft='M2762' AND tagrt='M2121';,SHAM,Male,,,,,,BEGINNING,7,2019-04-24,14:47:54,2019-04-25,10:46:00,2019-05-12,09:25:00,2019-05-12,13:40:00,13:40:30,13:41:15,13:41:35,13:53:38,BJD7_22462_APRIL-MAY2019_BJD7_1.csv
JO,F3,H3582,H3583,P/P,20046,SELECT id FROM `KRSP 2019`.squirrel where taglft='H3582' AND tagrt='H3583';,RATTLE,Pre-pregnancy,,,,,,BEGINNING,9,2019-04-24,14:48:06,2019-04-25,11:22:50,2019-05-11,09:41:25,2019-05-11,13:47:15,13:47:45,13:48:15,13:48:35,13:59:53,BJD9_20046_APRIL-MAY2019_BJD9_1.csv
JO,3,M2526,M2527,W!/BK!,22450,SELECT id FROM `KRSP 2019`.squirrel where taglft='M2526' AND tagrt='M2527';,RATTLE,Male,,,,,,BEGINNING,19,2019-04-24,14:48:15,2019-04-25,10:13:09,2019-05-13,08:36:00,2019-05-15,NaN,NaN,NaN,15:58:20,16:10:06,BJD19_22450_APRILMAY2019_BJD19_1.csv
JO,R13,M0482,M0483,G/G,21029,SELECT id FROM `KRSP 2019`.squirrel where taglft='M0482' AND tagrt='M0483';,RATTLE,Pre-pregnancy,,,,,,BEGINNING,21,2019-04-24,14:48:25,2019-04-27,12:01:48,2019-05-13,11:39:15,2019-05-15,NaN,NaN,NaN,15:58:20,16:09:24,BJD21_21029_APRILMAY2019_BJD21_1.csv
BT,J5.,M3210,M3211,B!/B!,23252,SELECT id FROM `KRSP 2019`.squirrel where taglft='M3210' AND tagrt='M3211';,SHAM,Male,,,,,,BEGINNING,22,2019-04-29,15:11:51,2019-04-30,11:22:00,2019-05-15,09:02:00,2019-05-15,NaN,NaN,NaN,15:58:20,16:09:39,BJD22_23252_APRILMAY2019_BJD22_1.csv
BT,G5.,F1655,F1656,Y!/R!,22030,SELECT id FROM `KRSP 2019`.squirrel where taglft='F1655' AND tagrt='F1656';,SHAM,Male,,,,,,BEGINNING,18,2019-04-29,15:12:04,2019-05-01,09:02:00,2019-05-15,08:51:00,2019-05-15,NaN,NaN,NaN,15:58:20,16:10:30,
BT,R2.,M1873,-,B!/-,21961,SELECT id FROM `KRSP 2019`.squirrel where taglft='M1873' AND tagrt='-';,SHAM,Male,,,,,,BEGINNING,10,2019-04-29,15:12:18,2019-05-05,09:32:00,2019-05-21,11:14:00,2019-05-22,13:35:00,13:35:30,13:36:00,13:36:20,13:52:22,BJD10_21961_MAY2019_BJD10_1.csv
JO,M17,M1829,M1850,O/R,22541,SELECT id FROM `KRSP 2019`.squirrel where taglft='M1829' AND tagrt='M1850';,RATTLE,Pre-pregnancy,,,,,,BEGINNING,15,2019-05-11,20:59:12,2019-05-13,08:59:35,2019-05-26,12:48:00,2019-05-26,14:25:00,14:25:30,14:26:00,14:26:20,14:39:10,BJD15_22541_MAY2019_BJD15_1.csv
