squirrelId,in_awake,in_asleep,out_awake,out_asleep,is_female,is_mast,meanSeason
12678,0.126289682539683,0.304861111111111,0.568253968253968,0.000595238095238095,0,0,2
19537,0.19265873015873,0.316269841269841,0.478571428571429,0.0125,0,0,2
20495,0.150396825396825,0.325496031746032,0.524107142857143,0,0,0,2
20645,0.116765873015873,0.31875,0.564087301587302,0.000396825396825397,0,0,2
20836,0.156646825396825,0.304662698412698,0.538690476190476,0,0,0,2
19880,0.180357142857143,0.33422619047619,0.485416666666667,0,0,0,2
13179,0.148313492063492,0.326884920634921,0.523511904761905,0.00128968253968254,0,0,2
19537,0.142261904761905,0.31547619047619,0.528869047619048,0.0133928571428571,0,0,2
21004,0.173611111111111,0.325992063492063,0.48015873015873,0.0202380952380952,0,0,2
21297,0.145535714285714,0.330952380952381,0.523511904761905,0,0,0,2
20862,0.119097222222222,0.324768518518519,0.54837962962963,0.00775462962962963,0,0,2
19718,0.119791666666667,0.302430555555556,0.561342592592593,0.0164351851851852,0,0,2
19516,0.262037037037037,0.283680555555556,0.3875,0.0667824074074074,0,0,2
21276,0.112896825396825,0.301785714285714,0.581051587301587,0.00426587301587302,0,0,2
20567,0.161309523809524,0.305654761904762,0.526587301587302,0.0064484126984127,0,0,2
12027,0.182098765432099,0.35829475308642,0.435185185185185,0.0244212962962963,0,0,4
21279,0.189460784313725,0.369362745098039,0.427001633986928,0.0141748366013072,0,0,4
20729,0.213153594771242,0.352165032679739,0.418790849673203,0.015890522875817,0,0,4
21117,0.185286458333333,0.354383680555556,0.460286458333333,4.34027777777778e-05,0,0,4
20942,0.182899305555556,0.354036458333333,0.452517361111111,0.010546875,0,0,4
20198,0.194321895424837,0.327982026143791,0.460089869281046,0.0176062091503268,0,0,4
22068,0.202736928104575,0.366135620915033,0.425653594771242,0.00547385620915033,0,0,4
12028,0.231168300653595,0.34812091503268,0.407393790849673,0.0133169934640523,0,0,4
12653,0.241435185185185,0.351898148148148,0.375509259259259,0.0311574074074074,0,0,4
20525,0.182378472222222,0.324869791666667,0.442664930555556,0.0500868055555556,0,0,4
12678,0.430102657004831,0.427958937198068,0.141787439613527,0.000150966183574879,0,0,1
11256,0.409375,0.387222222222222,0.178263888888889,0.0251388888888889,1,0,1
20729,0.419871794871795,0.437179487179487,0.142948717948718,0,0,0,1
12285,0.45405701754386,0.433260233918129,0.10749269005848,0.00519005847953216,1,0,1
21997,0.430288461538462,0.46338141025641,0.106330128205128,0,0,0,1
19962,0.405324074074074,0.428125,0.166550925925926,0,1,0,1
12177,0.406134259259259,0.43353587962963,0.160329861111111,0,0,0,1
20198,0.351777777777778,0.426138888888889,0.221194444444444,0.000888888888888889,0,0,1
20873,0.443055555555556,0.438194444444444,0.11875,0,1,0,1
19983,0.456805555555556,0.434583333333333,0.108611111111111,0,1,0,1
13487,0.467939814814815,0.428009259259259,0.104050925925926,0,0,0,1
20295,0.424166666666667,0.438333333333333,0.1375,0,1,0,1
19880,0.432578502415459,0.416364734299517,0.148882850241546,0.00217391304347826,0,0,1
19795,0.367956349206349,0.302678571428571,0.225198412698413,0.104166666666667,0,0,1
20191,0.438888888888889,0.447361111111111,0.11375,0,1,0,1
20634,0.374184782608696,0.470561594202899,0.155253623188406,0,0,0,1
19583,0.456805555555556,0.439930555555556,0.103263888888889,0,1,0,1
20004,0.376442307692308,0.438461538461538,0.185096153846154,0,0,0,1
10617,0.438686342592593,0.453993055555556,0.107320601851852,0,0,0,1
21276,0.434359903381642,0.434601449275362,0.127173913043478,0.00386473429951691,0,0,1
19907,0.428732638888889,0.438802083333333,0.132465277777778,0,1,0,1
19347,0.449922839506173,0.429012345679012,0.121064814814815,0,1,0,1
20166,0.437268518518519,0.391435185185185,0.171296296296296,0,1,0,1
19917,0.438099747474747,0.420770202020202,0.124621212121212,0.0165088383838384,0,0,1
19819,0.423842592592593,0.453935185185185,0.122222222222222,0,0,0,1
21599,0.410416666666667,0.415972222222222,0.173611111111111,0,0,0,1
21389,0.385590277777778,0.458217592592593,0.15619212962963,0,0,0,2
20141,0.361111111111111,0.431150793650794,0.19375,0.0139880952380952,0,0,2
12236,0.362123842592593,0.452314814814815,0.180989583333333,0.00457175925925926,0,0,1
21086,0.381299603174603,0.431547619047619,0.187152777777778,0,0,0,1
19981,0.345069444444444,0.391805555555556,0.220972222222222,0.0421527777777778,0,0,1
21239,0.351851851851852,0.419398148148148,0.205925925925926,0.0228240740740741,0,0,1
21685,0.355239898989899,0.377083333333333,0.194949494949495,0.0727272727272727,0,0,2
19243,0.405257936507937,0.391765873015873,0.183928571428571,0.019047619047619,0,0,1
21222,0.343194444444444,0.369166666666667,0.215555555555556,0.0720833333333333,0,0,1
20866,0.335750485227518,0.461828768600388,0.201638990726763,0.000781755445331033,0,0,3
19943,0.414583333333333,0.45,0.135416666666667,0,0,0,1
21923,0.419760101010101,0.434090909090909,0.14614898989899,0,0,0,1
20739,0.356527777777778,0.387305555555556,0.256,0.000166666666666667,0,0,1
12007,0.248611111111111,0.436271367521368,0.307692307692308,0.00742521367521367,0,1,2
13039,0.334623015873016,0.429960317460317,0.234027777777778,0.00138888888888889,0,1,2
12825,0.236545138888889,0.412934027777778,0.350347222222222,0.000173611111111111,0,1,2
12364,0.258996212121212,0.420991161616162,0.314646464646465,0.00536616161616162,0,1,2
12576,0.242100694444444,0.397916666666667,0.359982638888889,0,0,1,2
13466,0.262847222222222,0.379340277777778,0.3578125,0,0,1,2
13179,0.274305555555556,0.444760101010101,0.264583333333333,0.0163510101010101,0,1,2
22038,0.323062865497076,0.426571637426901,0.220431286549708,0.0299342105263158,0,0,1
20921,0.389875730994152,0.437463450292398,0.164656432748538,0.00800438596491228,0,0,1
20904,0.373581336696091,0.407734342160572,0.17304189435337,0.0456424267899678,0,0,1
20064,0.394146027661628,0.445673850112576,0.145062721132197,0.0151174010935992,0,0,1
21599,0.364536252354049,0.459522128060264,0.167796610169492,0.00814500941619586,0,0,1
21389,0.38530701754386,0.439071637426901,0.151315789473684,0.0243055555555556,0,0,1
20729,0.307513104251602,0.391962725684333,0.300427101533683,9.706853038245e-05,0,0,1
21332,0.386476608187135,0.43983918128655,0.162207602339181,0.0114766081871345,0,0,1
21299,0.385,0.421770833333333,0.174236111111111,0.0189930555555556,0,0,1
21086,0.391319444444444,0.434322916666667,0.161128472222222,0.0132291666666667,0,0,1
22089,0.289236111111111,0.471961805555556,0.233940972222222,0.00486111111111111,0,0,1
12177,0.2865625,0.390260416666667,0.282204861111111,0.0409722222222222,0,0,1
12348,0.385416666666667,0.432565789473684,0.181944444444444,7.30994152046784e-05,0,0,1
13114,0.461386268343816,0.431564465408805,0.107049266247379,0,0,0,1
19890,0.463125,0.410746527777778,0.124184027777778,0.00194444444444444,0,0,1
22363,0.348135964912281,0.403508771929825,0.219700292397661,0.0286549707602339,0,0,1
