"","year","grid","squirrel_id","cache_size_total","cache_size_total2","cache_size_new_open","cache_size_new_closed","cache_size_new","cache_size_old"
"1",2010,"KL",8331,2496.24080020315,NA,NA,NA,310.796779471934,2185.44402073122
"2",2008,"KL",8518,0,NA,NA,NA,0,0
"3",2008,"KL",8592,968.837721935965,NA,NA,NA,709.729959092625,259.107762843339
"4",2008,"KL",8680,351.609258722104,NA,NA,NA,0,351.609258722104
"5",2008,"AG",8720,2570.411839259,NA,NA,NA,448.60961345558,2121.80222580342
"6",2008,"AG",8721,793.743018883546,NA,NA,NA,20.616701789183,773.126317094363
"7",2008,"KL",8722,0,NA,NA,NA,0,0
"8",2008,"AG",8723,8174.41917590212,NA,NA,NA,2446.4809178134,5727.93825808872
"9",2008,"AG",8725,0,NA,NA,NA,0,0
"10",2008,"AG",8726,980.569607001714,NA,NA,NA,617.715655512093,362.853951489621
"11",2008,"KL",8727,7687.96809718635,NA,NA,NA,7428.19765464264,259.770442543706
"12",2008,"KL",8728,2390.83300356743,NA,NA,NA,1432.29626941828,958.536734149155
"13",2008,"KL",8729,17735.4943976367,NA,NA,NA,9124.99761772372,8610.49677991299
"14",2008,"KL",8730,23986.266077176,NA,NA,NA,19778.7801236084,4207.4859535676
"15",2008,"KL",8732,1266.02011511926,NA,NA,NA,134.936313210203,1131.08380190905
"16",2008,"KL",8733,2018.01676724897,NA,NA,NA,1995.67709823883,22.3396690101362
"17",2010,"KL",8760,14657.2379700018,NA,NA,NA,12070.6665635309,2586.5714064709
"18",2015,"KL",8770,54.781521896972,NA,NA,NA,0,54.781521896972
"19",2012,"SU",8775,25857.8208131669,NA,NA,NA,935.64483205538,24922.1759811115
"20",2013,"SU",8775,41693.1560282648,NA,NA,NA,33184.3486755577,8508.8073527071
"21",2012,"SU",10037,24913.3107993421,NA,NA,NA,6052.3862393882,18860.9245599539
"22",2013,"SU",10037,54739.1103961485,NA,NA,NA,34647.3687393804,20091.7416567682
"23",2012,"SU",10043,6934.28038463607,NA,NA,NA,1272.34502470387,5661.9353599322
"24",2013,"SU",10043,23658.9023051949,NA,NA,NA,20889.6669208718,2769.23538432306
"25",2016,"SU",10043,853.138754990478,NA,NA,NA,0,853.138754990478
"26",2017,"SU",10043,9032.47157815235,NA,NA,NA,8900.28906725256,132.182510899791
"27",2018,"SU",10043,253.997766042735,217.712370893773,0,0,36.2853951489621,217.712370893773
"28",2011,"KL",10046,197.517820617416,NA,NA,NA,0,197.517820617416
"29",2012,"KL",10046,171.530958886003,NA,NA,NA,128.648219164502,42.8827397215007
"30",2013,"KL",10046,19877.7991970587,NA,NA,NA,19005.3003773405,872.498819718225
"31",2012,"KL",10047,4436.33134342753,NA,NA,NA,4311.01124898042,125.320094447105
"32",2014,"SU",10047,35314.7608287274,NA,NA,NA,34235.2703230457,1079.49050568162
"33",2013,"SU",10048,3706.29393307256,NA,NA,NA,2940.53072376005,765.763209312512
"34",2014,"SU",10048,27266.2753395875,NA,NA,NA,22826.1249975905,4440.15034199705
"35",2012,"SU",10049,3667.73088324974,NA,NA,NA,44.7284254054847,3623.00245784426
"36",2012,"AG",10054,33799.8455812582,NA,NA,NA,2627.39247601348,31172.4531052447
"37",2008,"AG",10100,5511.37453200891,NA,NA,NA,284.510484690726,5226.86404731819
"38",2008,"AG",10112,384.722381601719,NA,NA,NA,0,384.722381601719
"39",2009,"SU",10115,9147.90547321769,NA,NA,NA,8623.82891373666,524.076559481032
"40",2008,"AG",10118,10507.5425950447,NA,NA,NA,1691.89245174448,8815.65014330018
"41",2008,"AG",10119,2351.67845075281,NA,NA,NA,1275.48661735746,1076.19183339535
"42",2009,"SU",10120,17417.118525888,NA,NA,NA,15645.8861334248,1771.23239246319
"43",2008,"KL",10121,7930.62667724503,NA,NA,NA,5149.50232822354,2781.12434902149
"44",2009,"KL",10121,20625.5522447368,NA,NA,NA,18137.8992825765,2487.65296216025
"45",2008,"AG",10126,4152.94986859669,NA,NA,NA,251.837921093392,3901.1119475033
"46",2009,"SU",10133,1502.07398749762,NA,NA,NA,819.955682586936,682.118304910684
"47",2009,"SU",10135,25730.704120421,NA,NA,NA,25456.6197963494,274.084324071625
"48",2008,"KL",10136,18152.7310360185,NA,NA,NA,5827.71327727132,12325.0177587471
"49",2008,"KL",10137,3378.90070866033,NA,NA,NA,2887.78141961087,491.119289049467
"50",2008,"KL",10138,9431.52256749755,NA,NA,NA,8976.30579199239,455.216775505161
"51",2009,"KL",10140,1725.91859998904,NA,NA,NA,1467.95211885189,257.966481137152
"52",2008,"KL",10146,5914.04817038279,NA,NA,NA,4064.43549558179,1849.61267480099
"53",2008,"KL",10153,6926.40799523264,NA,NA,NA,1500.81612325155,5425.59187198109
"54",2009,"SU",10160,97.9698305914195,NA,NA,NA,0,97.9698305914195
"55",2009,"KL",10177,2421.34326784616,NA,NA,NA,1975.66908002628,445.674187819882
"56",2008,"KL",10178,12364.6091892902,NA,NA,NA,5469.09556712553,6895.51362216463
