squirrelId,in_awake,in_asleep,out_awake,out_asleep,is_female,is_mast,year,start_dt,end_dt,durationInMinutes,inNestInMinutes,asleepInMinutes,meanSeason
13487,0.467939814814815,0.428009259259259,0.104050925925926,0,0,0,2016,05-Dec-2015,28-Dec-2015 23:59:00,34559,30964,14792,1
20295,0.424166666666667,0.438333333333333,0.1375,0,1,0,2016,07-Dec-2015,11-Dec-2015 23:59:00,7199,6210,3156,1
19880,0.432578502415459,0.416364734299517,0.148882850241546,0.00217391304347826,0,0,2016,07-Dec-2015,29-Dec-2015 23:59:00,33119,28117,13862,1
19795,0.367956349206349,0.302678571428571,0.225198412698413,0.104166666666667,0,0,2016,05-Dec-2015,11-Dec-2015 23:59:00,10079,6760,4101,1
20191,0.438888888888889,0.447361111111111,0.11375,0,1,0,2016,07-Dec-2015,11-Dec-2015 23:59:00,7199,6381,3221,1
20634,0.374184782608696,0.470561594202899,0.155253623188406,0,0,0,2016,07-Dec-2015,29-Dec-2015 23:59:00,33119,27978,15585,1
19583,0.456805555555556,0.439930555555556,0.103263888888889,0,1,0,2016,02-Dec-2015,11-Dec-2015 23:59:00,14399,12913,6335,1
20004,0.376442307692308,0.438461538461538,0.185096153846154,0,0,0,2016,05-Dec-2015,17-Dec-2015 23:59:00,18719,15255,8208,1
10617,0.438686342592593,0.453993055555556,0.107320601851852,0,0,0,2016,05-Dec-2015,28-Dec-2015 23:59:00,34559,30851,15690,1
21276,0.434359903381642,0.434601449275362,0.127173913043478,0.00386473429951691,0,0,2016,07-Dec-2015,29-Dec-2015 23:59:00,33119,28780,14522,1
19907,0.428732638888889,0.438802083333333,0.132465277777778,0,1,0,2016,05-Dec-2015,12-Dec-2015 23:59:00,11519,9994,5055,1
19347,0.449922839506173,0.429012345679012,0.121064814814815,0,1,0,2016,05-Dec-2015,13-Dec-2015 23:59:00,12959,11391,5560,1
20166,0.437268518518519,0.391435185185185,0.171296296296296,0,1,0,2016,05-Dec-2015,07-Dec-2015 23:59:00,4319,3580,1691,1
19917,0.438099747474747,0.420770202020202,0.124621212121212,0.0165088383838384,0,0,2016,07-Dec-2015,28-Dec-2015 23:59:00,31679,27209,13853,1
19819,0.423842592592593,0.453935185185185,0.122222222222222,0,0,0,2016,08-Dec-2015,13-Dec-2015 23:59:00,8639,7584,3922,1
21599,0.410416666666667,0.415972222222222,0.173611111111111,0,0,0,2016,30-Dec-2015,30-Dec-2015 23:59:00,1439,1190,599,1
21389,0.385590277777778,0.458217592592593,0.15619212962963,0,0,0,2016,31-Dec-2015,11-Jan-2016 23:59:00,17279,14581,7918,2
20141,0.361111111111111,0.431150793650794,0.19375,0.0139880952380952,0,0,2016,30-Dec-2015,05-Jan-2016 23:59:00,10079,7986,4487,2
12236,0.362123842592593,0.452314814814815,0.180989583333333,0.00457175925925926,0,0,2016,31-Dec-2015,23-Jan-2016 23:59:00,34559,28147,15790,1
21086,0.381299603174603,0.431547619047619,0.187152777777778,0,0,0,2016,15-Dec-2015,28-Dec-2015 23:59:00,20159,16387,8700,1
19981,0.345069444444444,0.391805555555556,0.220972222222222,0.0421527777777778,0,0,2016,20-Dec-2015,29-Dec-2015 23:59:00,14399,10611,6249,1
21239,0.351851851851852,0.419398148148148,0.205925925925926,0.0228240740740741,0,0,2016,31-Dec-2015 12:00:00,15-Jan-2016 11:59:00,21599,16659,9552,1
21685,0.355239898989899,0.377083333333333,0.194949494949495,0.0727272727272727,0,0,2016,31-Dec-2015 12:00:00,11-Jan-2016 11:59:00,15839,11600,7125,2
19243,0.405257936507937,0.391765873015873,0.183928571428571,0.019047619047619,0,0,2016,15-Dec-2015,21-Dec-2015 23:59:00,10079,8034,4141,1
21222,0.343194444444444,0.369166666666667,0.215555555555556,0.0720833333333333,0,0,2016,20-Dec-2015,24-Dec-2015 23:59:00,7199,5129,3177,1
20866,0.335750485227518,0.461828768600388,0.201638990726763,0.000781755445331033,0,0,2016,20-Dec-2015,14-Jan-2016 18:15:00,37095,29587,17161,3
