"","squirrel_id","byear","bcert","litter_id","dates","datee","part","longevity"
"94",1576,1988,"Y",429,"1988-04-14","1992-08-20",NA,1589
"95",2565,1988,"Y",429,"1988-04-14","1995-06-14",NA,2617
"96",1265,1988,"Y",425,"1988-04-15","1992-03-24",NA,1439
"97",1274,1988,"Y",425,"1988-04-15","1992-05-05",NA,1481
"98",242,1988,"Y",387,"1988-04-16","1988-04-16",NA,0
"99",265,1988,"Y",418,"1988-04-16","1988-04-16",NA,0
"100",332,1988,"Y",387,"1988-04-16","1988-06-21",NA,66
"101",716,1988,"Y",418,"1988-04-16","1990-03-12",NA,695
"102",905,1988,"Y",418,"1988-04-16","1990-08-22",NA,858
"103",251,1988,"Y",456,"1988-04-19","1988-04-19",NA,0
"104",359,1988,"Y",456,"1988-04-19","1988-07-06",NA,78
"105",247,1988,"Y",412,"1988-04-19","1988-04-19",NA,0
"106",1654,1988,"Y",456,"1988-04-19","1993-03-08",NA,1784
"107",252,1988,"Y",452,"1988-04-20","1988-04-20",NA,0
"108",2119,1988,"Y",452,"1988-04-20","1994-05-24",NA,2225
"109",281,1988,"Y",439,"1988-04-21","1988-04-21",NA,0
"110",375,1988,"Y",439,"1988-04-21","1988-07-18",NA,88
"111",2456,1988,"Y",439,"1988-04-21","1994-07-20",NA,2281
"112",244,1988,"Y",393,"1988-04-22","1988-04-22",NA,0
"113",1937,1988,"Y",460,"1988-04-22","1993-12-16",NA,2064
"114",245,1988,"Y",393,"1988-04-22","1988-04-22",NA,0
"115",246,1988,"Y",393,"1988-04-22","1988-04-22",NA,0
"116",398,1988,"Y",460,"1988-04-22","1989-04-17",NA,360
"117",243,1988,"Y",393,"1988-04-22","1988-04-22",NA,0
"118",311,1988,"Y",460,"1988-04-22","1988-04-22",NA,0
"119",347,1988,"Y",453,"1988-04-23","1988-04-23",NA,0
"120",266,1988,"Y",441,"1988-04-23","1988-04-23",NA,0
"121",361,1988,"Y",441,"1988-04-23","1988-04-23",NA,0
"122",1019,1988,"Y",441,"1988-04-23","1990-09-07",NA,867
"123",335,1988,"Y",453,"1988-04-23","1988-06-23",NA,61
"124",346,1988,"Y",453,"1988-04-23","1988-06-23",NA,61
"125",255,1988,"Y",450,"1988-04-24","1988-04-24",NA,0
"126",256,1988,"Y",450,"1988-04-24","1988-04-24",NA,0
"127",295,1988,"Y",428,"1988-04-25","1988-04-25",NA,0
"128",553,1988,"Y",428,"1988-04-25","1989-08-15",NA,477
"129",2208,1988,"Y",428,"1988-04-25","1994-08-15",NA,2303
"130",268,1988,"Y",386,"1988-04-26","1988-05-25",NA,29
"131",264,1988,"Y",385,"1988-04-26","1988-04-26",NA,0
"132",340,1988,"Y",386,"1988-04-26","1988-06-23",NA,58
"133",333,1988,"Y",385,"1988-04-26","1988-06-21",NA,56
"134",341,1988,"Y",386,"1988-04-26","1988-06-23",NA,58
"135",334,1988,"Y",385,"1988-04-26","1988-06-21",NA,56
"136",324,1988,"Y",398,"1988-04-26","1988-06-17",NA,52
"137",512,1988,"Y",427,"1988-04-28","1989-06-09",NA,407
"138",1025,1988,"Y",427,"1988-04-28","1990-09-09",NA,864
"139",1192,1988,"Y",427,"1988-04-28","1991-07-23",NA,1181
"140",696,1988,"Y",401,"1988-04-29","1989-09-25",NA,514
