"","grid","year","num_trees","cone_counts","cone_index","cone_index_t","cone_index_tm1","mast","exp","exp_label"
"1","AG",1991,83,0.795180722891566,0.223244897365723,0.223244897365723,NA,"n","c",1
"2","AG",1992,84,67.5595238095238,2.56335502828785,2.56335502828785,0.223244897365723,"n","c",1
"3","AG",1993,83,7.24096385542169,1.05055826106597,1.05055826106597,2.56335502828785,"y","c",1
"4","AG",1994,86,3.81395348837209,0.497191243818616,0.497191243818616,1.05055826106597,"n","c",1
"5","AG",1995,85,82.2705882352941,3.11380882567457,3.11380882567457,0.497191243818616,"n","c",1
"6","AG",2005,126,0.277777777777778,0.0722617448914155,0.0722617448914155,1.045008523,"y","f",19
"7","AG",2006,126,6.63492063492064,0.536180363609609,0.536180363609609,0.0722617448914155,"n","f",19
"8","AG",2007,126,42.2142857142857,1.98444134200992,1.98444134200992,0.536180363609609,"n","f",19
"9","AG",2008,126,2.29365079365079,0.236200567799911,0.236200567799911,1.98444134200992,"n","f",19
"10","AG",2009,126,11.6825396825397,0.900470233416917,0.900470233416917,0.236200567799911,"n","f",19
"11","AG",2010,126,231.063492063492,3.73704967748009,3.73704967748009,0.900470233416917,"y","f",19
"12","AG",2011,126,0.0317460317460317,0.01277331676535,0.01277331676535,3.73704967748009,"n","f",19
"13","AG",2012,122,10.8196721311475,1.24502659180238,1.24502659180238,0.01277331676535,"n","f",19
"14","AG",2013,125,16.512,1.45918028713788,1.45918028713788,1.24502659180238,"n","f",19
"15","AG",2014,126,138.571428571429,3.92173718541744,3.92173718541744,1.45918028713788,"y","f",19
"16","AG",2015,126,0,0,0,3.92173718541744,"n","f",19
"17","AG",2016,126,1.56349206349206,0.385431561719687,0.385431561719687,0,"n","f",19
"18","AG",2017,126,20.8174603174603,1.78405749334044,1.78405749334044,0.385431561719687,"n","f",19
"19","AG",2018,126,0.380952380952381,0.125147398545732,0.125147398545732,1.78405749334044,"n","c",1
"20","AG",2019,126,295.563492063492,4.70465279758007,4.70465279758007,0.125147398545732,"y","c",1
"21","BT",2018,46,4.23913043478261,0.789136948342079,0.789136948342079,NA,"n","c",1
"22","BT",2019,44,541.318181818182,5.13579936827396,5.13579936827396,0.789136948342079,"y","c",1
"23","BT",2020,45,19.4,1.94433381700189,1.94433381700189,5.13579936827396,"n","c",1
"24","JO",2005,183,240.092896174863,4.5003902257521,4.5003902257521,NA,"y","c",1
"25","JO",2006,200,0.09,0.0301534263013063,0.0301534263013063,4.5003902257521,"n","c",1
"26","JO",2007,200,14.27,1.37394379169892,1.37394379169892,0.0301534263013063,"n","f",19
"27","JO",2008,200,8.62,0.650819890600662,0.650819890600662,1.37394379169892,"n","f",19
"28","JO",2009,187,22.6737967914438,1.58634618494355,1.58634618494355,0.650819890600662,"n","f",19
"29","JO",2010,192,396.151041666667,4.64986682202269,4.64986682202269,1.58634618494355,"y","f",19
"30","JO",2011,185,0.0108108108108108,0.00749348303308049,0.00749348303308049,4.64986682202269,"n","f",19
"31","JO",2012,190,15.4894736842105,1.39871762890674,1.39871762890674,0.00749348303308049,"n","f",19
"32","JO",2013,190,29.2421052631579,1.85372237782278,1.85372237782278,1.39871762890674,"n","c",1
"33","JO",2014,85,260.917647058824,4.6519754976326,4.6519754976326,1.85372237782278,"y","c",1
"34","JO",2015,85,0,0,0,4.6519754976326,"n","c",1
"35","JO",2016,85,0.294117647058824,0.1080228340877,0.1080228340877,0,"n","c",1
"36","JO",2017,85,15.6823529411765,1.74561693957041,1.74561693957041,0.1080228340877,"n","c",1
"37","JO",2018,84,0.452380952380952,0.181639840392812,0.181639840392812,1.74561693957041,"n","c",1
"38","JO",2019,84,374.214285714286,5.05176523796311,5.05176523796311,0.181639840392812,"y","c",1
"39","JO",2020,84,15.202380952381,1.74154958008248,1.74154958008248,5.05176523796311,"n","c",1
"40","KL",1988,133,51.781954887218,3.09908301104899,3.09908301104899,NA,"n","c",1
"41","KL",1989,144,0,0,0,3.09908301104899,"n","c",1
"42","KL",1990,143,41.3216783216783,2.25078386855408,2.25078386855408,0,"n","c",1
"43","KL",1991,168,1.45238095238095,0.396017825088179,0.396017825088179,2.25078386855408,"n","c",1
"44","KL",1992,164,100.768292682927,3.53674678805725,3.53674678805725,0.396017825088179,"n","c",1
"45","KL",1993,167,300.497005988024,5.08936489946811,5.08936489946811,3.53674678805725,"y","c",1
"46","KL",1994,166,1.80120481927711,0.380323760999794,0.380323760999794,5.08936489946811,"n","c",1
"47","KL",1995,168,133.875,3.66826977732922,3.66826977732922,0.380323760999794,"n","c",1
"48","KL",1996,168,82.0535714285714,3.32192580410932,3.32192580410932,3.66826977732922,"n","c",1
"49","KL",1997,167,52.4311377245509,2.87297988785229,2.87297988785229,3.32192580410932,"n","c",1
"50","KL",1998,84,343.154761904762,5.16949592671395,5.16949592671395,2.87297988785229,"y","c",1
"51","KL",1999,84,60.5238095238095,2.49944670570954,2.49944670570954,5.16949592671395,"n","c",1
"52","KL",2000,84,2.29761904761905,0.455152610783109,0.455152610783109,2.49944670570954,"n","c",1
"53","KL",2001,85,27.4588235294118,2.05096907697608,2.05096907697608,0.455152610783109,"n","c",1
"54","KL",2002,85,49.3529411764706,2.35521355600171,2.35521355600171,2.05096907697608,"n","c",1
"55","KL",2003,85,12.7647058823529,1.3867000734311,1.3867000734311,2.35521355600171,"n","c",1
"56","KL",2004,84,15.0595238095238,1.17071970147084,1.17071970147084,1.3867000734311,"n","c",1
"57","KL",2005,84,207.869047619048,4.18267142654033,4.18267142654033,1.17071970147084,"y","c",1
