squirrel_id,isq,sex,is_preg,doy,days,year,byear,is_mast,RI,RI_odba,season,longevity,age,grid_cone_index,midden_cones,midden_cones_diff,traps_life,traps_rec,trap_wgt,qb,qb_day,qb_night,trans,trans_per,trans_day_ratio,trans_night,trans_day,qb_nest,litter_size
12678,1,1,0,117,5,2015,2010,0,0.2320082320831,0.101875636122561,2,0.626832382790589,1.19156083300075,-0.863375453076608,NaN,NaN,1.05019666000093,NaN,NaN,-1.71460883032933,-0.761550559700623,-0.702347978710364,-0.732957281022581,0.548141520170935,0.80101634392182,-0.341699847728601,0.589221731239528,0.384623015873016,NaN
19537,2,1,0,117,5,2015,2013,0,0.255857019688098,0.125870708277187,2,0.522533143446521,-0.557890278854258,-0.863375453076608,NaN,NaN,0.932270825150367,NaN,NaN,-1.17148741934616,-0.309659995711053,-0.581818233497325,-0.766824022634401,0.0929522907474172,0.855990583322761,-0.914935478370955,0.53773196683341,0.459027777777778,NaN
13288,3,0,1,117,5,2015,2012,0,0.178729767147608,0.0968902822875894,2,-0.0653352964927715,0.181146142056199,-0.863375453076608,NaN,NaN,0.499876097364954,NaN,NaN,-1.46653120136584,-0.433453770903597,-0.725597371188006,-0.561018438993342,2.85910222339803,0.789979166949206,0.66381183225061,1.97152386798838,0.266071428571429,3
12003,4,0,1,117,5,2015,2010,0,0.220712089204623,0.113757582638417,2,1.68404739977819,1.23935071703191,-0.863375453076608,NaN,NaN,2.03291195042233,NaN,NaN,-1.55203368513481,-0.565038762716653,-0.6992888481212,-0.633441163363234,1.88569756355389,0.805450298309016,0.203343866652654,1.58931138605066,0.330654761904762,1
20495,5,1,0,117,5,2015,2013,0,0.197939768857055,0.103364240298351,2,0.655277629884426,-1.11771463464786,-0.863375453076608,NaN,NaN,0.0674813695795417,NaN,NaN,-1.4219735689792,-0.512231627844309,-0.715808153302683,-0.737646522168833,0.485115319173833,0.804702578897014,-0.337001195018418,0.611005862334424,0.420337301587302,NaN
11256,6,0,1,125,7,2015,2009,0,0.188860352404833,0.0943551133467981,2,1.79624809664832,2.02447024040099,-0.863375453076608,NaN,NaN,3.99834253126511,NaN,NaN,-1.14361739445567,0.0168015994742608,-0.829947714618359,-0.334111270194149,2.95464194078252,0.879549789488881,-0.544263986789833,2.53417056707575,0.300231481481481,5
12285,7,0,1,117,5,2015,2012,0,0.198392358104311,0.113137136094795,2,-0.119065207670019,0.181146142056199,-0.863375453076608,NaN,NaN,0.657110543832377,NaN,NaN,-1.3328583042059,-0.373721110146356,-0.693170586942874,-0.640475025082612,1.79115826205824,0.819166473080966,-0.00809550530559162,1.58733101049658,0.362003968253968,4
20645,8,1,0,117,5,2015,2013,0,0.228574671332108,0.111557718053101,2,-1.90637490006609,-1.15355704767123,-0.863375453076608,NaN,NaN,-1.26901142539355,NaN,NaN,-1.54962516446526,-0.591875175520631,-0.695617891414205,-0.687627949942145,1.15739479647626,0.837341848872408,-0.482659429034098,1.11600162862519,0.388492063492063,NaN
20836,9,1,0,117,5,2015,2013,0,0.201010109171874,0.0888794768597952,2,0.00261723823139406,-1.18769267912206,-0.863375453076608,NaN,NaN,-0.325604746589015,NaN,NaN,-1.27264528746719,-0.33995917145748,-0.655237367637247,-0.650635047566158,1.65460149323118,0.858551583021029,-0.548440566976663,1.62693852157821,0.409920634920635,NaN
12305,10,0,1,117,5,2015,2010,0,0.141983584577206,0.0891736291719181,2,1.18309499262562,1.32810335880407,-0.863375453076608,NaN,NaN,0.735727767066088,NaN,NaN,-0.91016292670015,0.217545662276779,-0.810641201566749,-0.555808171053062,2.92913133561703,0.801863951688359,0.560441472626579,2.12599316120673,0.236210317460317,3
19880,11,1,0,117,5,2015,2012,0,0.232327172043862,0.117725807740835,2,0.808565905890101,-0.714914183528074,-0.863375453076608,NaN,NaN,1.44328277616949,NaN,NaN,-1.20761522938938,-0.116610961669531,-0.669921194465232,-0.715242370025629,0.786240501715545,0.832442891602225,-0.567235177817396,0.83676867549971,0.462003968253968,NaN
13179,13,1,0,117,5,2015,2011,0,0.219447718344301,0.111031770895118,2,1.2289234462768,0.792173945026047,-0.863375453076608,NaN,NaN,0.8143449902998,NaN,NaN,-1.34008386621455,-0.500111957545738,-0.623422409509948,-0.726183932700217,0.63917936605564,0.84508906503778,-0.684701495571976,0.83676867549971,0.426587301587302,NaN
11722,14,0,1,117,5,2015,2010,0,0.153915961443206,0.106971170774872,2,0.44193827668065,1.40661531114098,-0.863375453076608,NaN,NaN,0.853653601916656,NaN,NaN,-1.4593056393572,-0.444707750466556,-0.764754242729298,-0.544345581584446,3.08319538249884,0.79314575842479,0.776579497295007,2.1933259300455,0.226488095238095,2
19537,15,1,0,126,5,2015,2013,0,0.26393253968254,0.137152624373581,2,0.522533143446521,-0.542529244701385,-0.863375453076608,NaN,NaN,0.932270825150367,NaN,NaN,-1.49543344940042,-0.403154595157171,-0.765977894964963,-0.769168643207527,0.0614391902488667,0.86015651784109,-0.900839520240405,0.664476002294624,0.416468253968254,NaN
21004,16,1,0,126,5,2015,2014,0,0.206881821516008,0.0866794505392479,2,-1.37697724581969,-1.19110624226714,-0.863375453076608,NaN,NaN,-1.15108559054298,NaN,NaN,-0.988439848460475,0.150021784899028,-0.759859633786636,-0.695443351852565,1.05235112814776,0.875485340472311,-0.95252470005242,1.15956989081499,0.454861111111111,NaN
