isq,squirrelId,in_awake,in_asleep,out_awake,out_asleep,is_female,is_mast,year,start_dt,end_dt,durationInMinutes,inNestInMinutes,asleepInMinutes,meanSeason
158,19769,0.0611882716049383,0.458641975308642,0.348070987654321,0.132098765432099,1,0,2015,16-Aug-2015,24-Aug-2015 23:59:00,12959,6737,7656,4
159,11534,0.0594907407407407,0.585138888888889,0.246342592592593,0.109027777777778,0,0,2015,17-Aug-2015,31-Aug-2015 23:59:00,21599,13924,14994,4
160,21004,0.047140522875817,0.499714052287582,0.313357843137255,0.139787581699346,0,0,2015,16-Aug-2015,01-Sep-2015 23:59:00,24479,13387,15655,4
161,21003,0.0358796296296296,0.466898148148148,0.411033950617284,0.0861882716049383,1,0,2015,16-Aug-2015,24-Aug-2015 23:59:00,12959,6516,7168,4
162,12003,0.0506172839506173,0.466435185185185,0.318595679012346,0.164351851851852,1,0,2015,16-Aug-2015,24-Aug-2015 23:59:00,12959,6701,8175,4
163,21279,0.0593315972222222,0.491623263888889,0.3640625,0.0849826388888889,0,0,2015,16-Aug-2015,31-Aug-2015 23:59:00,23039,12694,13285,4
164,11256,0.0480324074074074,0.404166666666667,0.303009259259259,0.244791666666667,1,0,2015,16/08/2015 00:00:00.000,21/08/2015 23:59:00.000,8639,3907,5607,4
165,21393,0.0399305555555556,0.396267361111111,0.363454861111111,0.200347222222222,0,0,2015,17-Aug-2015,24-Aug-2015 23:59:00,11519,5025,6873,4
166,21997,0.0593253968253968,0.444444444444444,0.356150793650794,0.140079365079365,0,0,2015,16/08/2015 00:00:00.000,22/08/2015 23:59:00.000,10079,5078,5892,4
167,21022,0.0689814814814815,0.478935185185185,0.316782407407407,0.135300925925926,1,0,2015,16/08/2015 00:00:00.000,21/08/2015 23:59:00.000,8639,4734,5307,4
168,20198,0.064891975308642,0.417901234567901,0.328395061728395,0.188811728395062,0,0,2015,16-Aug-2015,24-Aug-2015 23:59:00,12959,6257,7863,4
169,20873,0.0916666666666667,0.472916666666667,0.222222222222222,0.213194444444444,1,0,2015,16/08/2015 00:00:00.000,21/08/2015 23:59:00.000,8639,4878,5928,4
170,12364,0.0493055555555556,0.584953703703704,0.259375,0.106365740740741,0,0,2015,16/08/2015 00:00:00.000,21/08/2015 23:59:00.000,8639,5480,5973,4
171,12678,0.0450617283950617,0.522839506172839,0.272299382716049,0.159799382716049,0,0,2015,03-Sep-2015,11-Sep-2015 23:59:00,12959,7360,8847,4
172,19537,0.0416666666666667,0.459635416666667,0.380729166666667,0.11796875,0,0,2015,04-Sep-2015,11-Sep-2015 23:59:00,11519,5775,6654,4
173,19740,0.0488194444444444,0.501875,0.354583333333333,0.0947222222222222,0,0,2015,03-Sep-2015,12-Sep-2015 23:59:00,14399,7930,8591,4
174,20495,0.0515782828282828,0.476578282828283,0.379987373737374,0.0918560606060606,0,0,2015,03-Sep-2015,13-Sep-2015 23:59:00,15839,8366,9004,4
175,20729,0.0440104166666667,0.455381944444444,0.349045138888889,0.1515625,0,0,2015,04-Sep-2015,11-Sep-2015 23:59:00,11519,5753,6992,4
176,12285,0.0319444444444444,0.335416666666667,0.353472222222222,0.279166666666667,1,0,2015,04-Sep-2015,04-Sep-2015 23:59:00,1439,529,885,4
177,10654,0.0523148148148148,0.458796296296296,0.401929012345679,0.0869598765432099,1,0,2015,03-Sep-2015,11-Sep-2015 23:59:00,12959,6624,7073,4
178,13012,0.0430555555555556,0.448697916666667,0.360503472222222,0.147743055555556,1,0,2015,04-Sep-2015,11-Sep-2015 23:59:00,11519,5665,6871,4
179,13130,0.0613425925925926,0.519984567901235,0.327006172839506,0.0916666666666667,1,0,2015,04-Sep-2015,12-Sep-2015 23:59:00,12959,7534,7927,4
180,19880,0.0503858024691358,0.505015432098765,0.350308641975309,0.0942901234567901,0,0,2015,03-Sep-2015,11-Sep-2015 23:59:00,12959,7198,7767,4
181,19611,0.0425309759153557,0.463037727968815,0.407629124321314,0.0868021717945148,1,0,2015,04-Sep-2015,13-Sep-2015 23:25:00,14365,7263,7899,4
182,13305,0.0503858024691358,0.398225308641975,0.437191358024691,0.114197530864198,1,0,2015,03-Sep-2015,11-Sep-2015 23:59:00,12959,5814,6641,4
183,20634,0.0587673611111111,0.54296875,0.228298611111111,0.169965277777778,0,0,2015,04-Sep-2015,11-Sep-2015 23:59:00,11519,6932,8213,4
184,19583,0.0427777777777778,0.513055555555556,0.283472222222222,0.160694444444444,1,0,2015,07-Sep-2015,11-Sep-2015 23:59:00,7199,4002,4851,4
185,20923,0.0502314814814815,0.514429012345679,0.353472222222222,0.0818672839506173,0,0,2015,03-Sep-2015,11-Sep-2015 23:59:00,12959,7318,7728,4
186,21325,0.0577020202020202,0.602272727272727,0.26969696969697,0.0703282828282828,0,0,2015,14-Sep-2015,24-Sep-2015 23:59:00,15839,10454,10654,4
187,19769,0.0469742063492063,0.421825396825397,0.297420634920635,0.233779761904762,1,0,2015,16-Sep-2015,29-Sep-2015 23:59:00,20159,9451,13217,4
188,12003,0.0483506944444444,0.500130208333333,0.316362847222222,0.13515625,1,0,2015,14-Sep-2015,29-Sep-2015 23:59:00,23039,12637,14637,4
189,12522,0.0428571428571429,0.390277777777778,0.319146825396825,0.247718253968254,0,0,2015,14-Sep-2015,20-Sep-2015 23:59:00,10079,4366,6431,4
190,20836,0.0439583333333333,0.534722222222222,0.328472222222222,0.0928472222222222,0,0,2015,14-Sep-2015,23-Sep-2015 23:59:00,14399,8333,9037,4
191,11256,0.0453125,0.54068287037037,0.307060185185185,0.106944444444444,1,0,2015,17-Sep-2015,28-Sep-2015 23:59:00,17279,10126,11191,4
192,21393,0.0525462962962963,0.529320987654321,0.293055555555556,0.125077160493827,0,0,2015,15-Sep-2015,23-Sep-2015 23:59:00,12959,7541,8481,4
193,21997,0.0594246031746032,0.528373015873016,0.335813492063492,0.0763888888888889,0,0,2015,14-Sep-2015,20-Sep-2015 23:59:00,10079,5925,6096,4
